Ціна оренди (грн),Ціна оренда (usd),Місто,Район,Мікрорайон,Метро,Вулиця,Номер будинку,Назва ЖК,Загальна площа,Житлова площа,Площа кухні,Поверх,Всього поверхів,Кімнат,Тип стін,Кількість фото,Студія,Спальні місця,Широта,Довгота,Дата,Посилання,Опис,Спокійний район,Тихий двір,Поруч з парком,Новий ремонт,У центрі,Можна з тваринами,Поруч з метро,Кухня-студія,Територія охороняється,Гарний краєвид,Престижний район,Тип пропозиції,Комуналка взимку,Комуналка влітку,Рік побудови,Тварини (опис),Комісія,Тип стіни (опис),Опалення,Підігрів води,Приміщення,Зручності,Розташування,Планування,Ліфт,Агенство
2 600,63,Харків,Київський,,Академіка Павлова,вул. Чернівецька,5В,ЖК Воробйові гори,21.0,17.0,4.0,3,6,1,кирпич,9,0,,50.013317,36.312271,2024-08-29,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-kievskiy-chernivetskaya-ulitsa-32173892.html,"Від власника !! Метро Академика Павлова . Є балкон!!! ЖК Воробьеві гори  . Є все необхідне для жмття, обновлений ремонт",0,1,0,0,0,0,0,0,0,1,0,Пропозиція від власника,900.0,500.0,1917.0,0,0,цегли,,,,пральна машина|електрочайник|електрична плита|холодильник|кондиціонер|витяжка,тип двору: внутрішній,,,
5 500,133,Харків,Шевченківський,,,вул. Олексія Дерев'янка,22А,,31.0,16.0,6.0,2,5,1,кирпич,7,0,,50.037867,36.228601,2024-08-29,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-derevyanko-ulitsa-28097811.html,"Об'єкт SL-181059
АдресаПавлово Поле, вулиця Дерев'янка 22А
Кількість кімнат 1
Тип об'єкту квартира
Тип будівлі хрущовка
Тип стін цегла
Площа 31м2 / 16м2 / 6м2
Поверх / Поверховість 2 / 5
Планування 1 спальня
Ремонт косметичний
Опалення централізоване
Санвузол поєднаний, ванна",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,балкон (и): 1,пральна машина|газова плита,,,,Агенція нерухомості SoftLoft 
8 000,193,Харків,Холодногірський,Холодна Гора,Холодна гора,вул. Полтавський Шлях,184А корпус 3,,40.1,17.8,10.2,2,9,1,монолитно-кирпичный,19,0,,49.97993874,36.17179325,2024-08-29,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-holodnaya-gora-poltavskiy-shlyah-ulitsa-32169592.html,"Сдам 1 комнатную квартиру в новострое ЖК ""Сказка"" по ул. Полтавский Шлях, в пешей доступности от станции метро Холодная Гора. Квартира расположена на 2 этаже 9 этажного дома. Общая площадь квартиры 40 м2, жилая площадь 15 м2, кухня 10 м2.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,,,,,,,,, Агентство нерухомості КИТ
8 800,213,Харків,Шевченківський,Павлівка,Наукова,вул. Сухумська,24,,79.9,41.9,13.5,2,10,2,кирпич,10,0,3.0,50.00961333,36.2164787,2024-08-29,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-pavlovka-mkaya-lia-26591772.html,"Здам на тривалий термін чудову 2к квартиру 80м2, поверх 2/9 на вул. Сухумська, буд.24 о 10 хв. пішки до м. Наукова. У квартирі дві ізольовані кімнати, повністю мебльована. Сан вузол з ванною та пральною машиною. Кухня укомплектована всім потрібним. Вікна виходять у тихий зачинений двір. Засклена лоджія.
Інфраструктура: ЦЕНТР міста, станції метро Наукова, Університет та Держпром в 15 хвилинах ходьби, поруч супермаркети Захоплення, Клас, Зріст, АТБ, дитячі садки, школи, басейн Локомотив, спортивні клуби, Зоопарк, 5 ВУЗів, Сад Шевченка, Центральний ринок, розв'язування транспорту. Закритий двір з паркомісцями та дитячим майданчиком. Приватний дитячий садок є безпосередньо у будинку.",1,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,1500.0,700.0,2010.0,0,Комісія за послуги 50 %,цегли,централізоване,централізований|бойлер,засклених лоджій: 1|кількість спалень: 2|гараж: немає|роздільний санвузол,телевізор|пральна машина|газова плита|Вбудована кухня|холодильник|лічильник на електрику|лічильник на газ|витяжка,тип двору: внутрішній,,вантажний ліфт,Метраж
4 000,97,Харків,Київський,,Академіка Павлова,вул. Академіка Барабашова,10Б,ЖК Птичка,33.0,12.0,16.0,3,9,1,кирпич,10,0,,50.01260595,36.30492422,2024-08-29,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-kievskiy-akademika-barabashova-ulitsa-31664110.html,"К аренде предлагается однокомнатная квартира в новострое ЖК Птичка по адресу ул . Барабашова 6б, м. Ак.Павлова 10 минут пешей доступности. Квартира расположена на комфортном 3-м этаже 9-этажного дома. Формат квартиры: кухня-гостиная и отдельная спальня.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,централізоване,,,,,,,АН Европейское
7 000,169,Харків,Слобідський,,Завод імені Малишева,просп. Героїв Харкова(Московський),118,ЖК Парковий квартал,38.7,36.0,5.0,1,3,2,кирпич,14,0,,49.98186,36.27937,2024-08-29,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-slobodskoy-geroev-harkova-moskovskiy-prospekt-32176062.html,"Пропонується в довгострокову оренду простора дворівнева квартира з новим ремонтом, розташована на 1 поверсі 3-поверхового будинку за адресою проспект Героїв Харкова, 118.

Квартира повністю укомплектована меблями та технікою!

Основні характеристики:

Адреса: проспект Захисників України, 118
Поверх: 1 з 3
Дворівнева квартира
Новий ремонт

Переваги:
Зручне місцерозташування
Закрита територія комплексу
Сучасний дизайн інтер'єру
Якісні матеріали оздоблення

Ваш дзвінок прискорить перегляд!",1,0,0,1,1,0,0,0,0,0,0,Пропозиція від посередника,1500.0,500.0,2017.0,1,Комісія за послуги 50 %,цегли,індивідуальне електричне,бойлер,суміжний санвузол,Wi-Fi|телевізор|пральна машина|душова кабіна|електрочайник|електрична плита|духова шафа|шафа-гардероб|Вбудована кухня|диван|холодильник|лічильник на електрику|лічильник на воду|витяжка|письмовий стіл|двоспальне ліжко,"тип двору: закритого типу (вхід, в'їзд обмежений)",підігрів підлоги,немає ліфта,
3 500,85,Харків,Салтівський,,Героїв праці,вул. Героїв Праці,28,,35.0,20.0,7.0,9,9,1,панель,8,0,,50.02255964,36.33841895,2024-08-29,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-geroev-truda-ulitsa-32176874.html,"Здам в оренду 1 кімнатну квартиру біля метро Героїв праці (Салтівська ). Героїв Праці 28.
В квартирі є все необхідне для вашого комфортного проживання : меблі та техніка.
Телефонуйте і будьте першими у черзі на перегляд!",0,1,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,Комісія за послуги 50 %,панелей,централізоване,централізований,суміжний санвузол,пральна машина|ванна|диван|холодильник|письмовий стіл,тип двору: внутрішній,,,
6 000,145,Харків,Київський,,Майдан Конституції,вул. Григорія Сковороди(Пушкінська),36,,60.0,40.0,10.0,2,6,2,кирпич,6,0,,49.99686,36.239237,2024-08-28,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-kievskiy-grigoriya-skovorody-pushkinskaya-ulitsa-32175701.html,"Сдам 2х кімнатку квартиру 6000 грн + всі комунальні

Центр міста
10 хв - ТЦ нікольский
2 хв метро бікетова
7 хвилин метро майдан Конституції
5 хвилин атб

Закритий двір ! 2 поверх !",0,0,0,0,0,0,0,1,0,0,0,Пропозиція від посередника,1500.0,800.0,1969.0,0,Комісія за послуги 50 %,цегли,централізоване,колонка,суміжний санвузол,Wi-Fi|телевізор|обідня зона|пральна машина|ванна|газова плита|духова шафа|шафа-гардероб|Вбудована кухня|диван|холодильник|лічильник на електрику|лічильник на газ|лічильник на воду|витяжка|письмовий стіл|кабельне ТБ|двоспальне ліжко,тип двору: внутрішній,,немає ліфта,АН Контракт-Нерухомість
6 000,145,Харків,Шевченківський,,Перемога,просп. Перемоги,59,ЖК проспект Перемоги,45.0,35.0,7.0,16,16,2,кирпич,12,0,,50.058787758001614,36.19942477895043,2024-08-28,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-pobedy-prospekt-32175491.html,"Продам 2 кімнатну квартиру на Олексіївці.
Пр.Победи59, будинок біля виходу з метро.
Квартира з капітальним ремонтом.
Вбудована кухня. Варельна поверхня, витяжка. Мікрохвильовка, холодильник, пральна машина, телевізор, бойлер. Кондиціонер.
Кімната одна прохідна.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,2017.0,1,Комісія за послуги 50 %,цегли,централізоване,бойлер,,телевізор|пральна машина|ванна|електрична плита|мікрохвильова піч|шафа-гардероб|Вбудована кухня|диван|холодильник|кондиціонер|витяжка|письмовий стіл|односпальне ліжко,тип двору: внутрішній,,пасажирський ліфт,АН Город
7 000,169,Харків,Основ’янський,,Проспект Гагаріна,вул. Москалівська,5,,57.0,30.0,8.0,6,9,2,кирпич,21,0,,49.982176,36.225694,2024-08-28,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-osnovyanskiy-moskalevskaya-ulitsa-32175114.html,"Оренда шикарної квартири в самому серці Харкова. 2 кімнатна квартира знаходиться поруч з трьома станціями метро вулиця Москалівська 5.
Встановлені лічильники на світло і воду, на газ лічильника немає (оплата за 2 особи).
Розвинена інфраструктура, все необхідне знаходиться в пішохідному доступі.
Вартість оренди 7000 грн + комунальні.
Зателефонуйте, ми швидко покажемо квартиру!",1,0,0,0,1,0,0,0,0,0,0,Пропозиція від посередника,3000.0,1200.0,1989.0,0,Комісія за послуги 50 %,цегли,централізоване,централізований,роздільний санвузол,обідня зона|пральна машина|душова кабіна|газова плита|духова шафа|мікрохвильова піч|шафа-гардероб|Вбудована кухня|диван|холодильник|лічильник на електрику|лічильник на воду|кондиціонер|витяжка|письмовий стіл,тип двору: внутрішній,балкон/лоджія,пасажирський ліфт,Агентство недвижимости Альтаир
3 000,73,Харків,Київський,,Героїв праці,вул. Кричевського,29,,53.0,24.0,14.0,7,7,1,кирпич,10,0,,50.041319,36.344684,2024-08-24,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-kievskiy-krichevskogo-ulitsa-31772642.html,"Сдам 1-комнатную квартиру  в районе Северной Салтовки, МЖК Интернационалист, улица Кричевского 29.
Большая квартира с двумя балконами-лоджиями, в сторону центра города. Лифт работает, все коммуникации подключены.
Зеленый двор с детскими площадками, зонами отдыха, парковочными местами.
В пяти минутах от дома, супермаркет КЛАСС, остановки общественного транспорта.
Звоните, покажем в удобное для Вас время.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,2010.0,0,0,цегли,централізоване,бойлер,суміжний санвузол,лічильник на електрику|лічильник на газ|лічильник на воду,тип двору: внутрішній,балкон/лоджія,пасажирський ліфт,Агентство недвижимости Альтаир
4 500,109,Харків,Київський,,Героїв праці,вул. Героїв Праці,12,,34.0,,,5,12,1,панель,8,0,,50.02505075619686,36.329818354335856,2024-08-24,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-kievskiy-geroev-truda-ulitsa-31988749.html,"Здам 1к квартиру на вул. Героїв праці 12, біля метро Героїв праці, 522 мікрорайон.

Квартира дуже затишна та доглянута.
Знаходиться вона на 5му поверсі.
Оснащена всім необхідним.
Район з розвиненою інфраструктурою, тут всього багато і все поруч.

Квартира вільна.
Телефонуйте!
Покажу у зручний для вас час

Світлана",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,Комісія за послуги 50 %,панелей,,,,,тип двору: внутрішній,,немає ліфта,
4 000,97,Харків,,,,пров. Шевченківський,40,ЖК Воробйові гори,27.0,13.0,6.0,11,12,1,кирпич,10,0,4.0,50.0118503286877,36.30408209339637,2024-08-23,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-evenkovkiy-peelok-29352912.html,"ХОЗЯИН! Сдам 2-х уровневую квартиру ЖК Воробьевы Горы, Салтовка, м. Академика Павлова, пер. Шевченковский д. 40, ремонт, мебель - на первом этаже диван, шкаф-купе, встроенная кухня, на втором кровать с ортопедическим матрасом, техника : кондиционер два смарт телевизора, пылесос, чайник, микроволновая печь, бойлер, стиральная машина автомат, wi-fi роутер, все как на фото.
Оплата 4000+ коммунальные .",1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,цегли,автономна котельня,бойлер,кількість спалень: 1|суміжний санвузол,Wi-Fi|пральна машина|душова кабіна|мікрохвильова піч|шафа-гардероб|диван|лічильник на електрику|супутникове ТБ,"тип двору: закритого типу (вхід, в'їзд обмежений)",,пасажирський ліфт|вантажний ліфт,АН Город
9 000,218,Харків,Основ’янський,,Проспект Гагаріна,вул. Лисаветинська,3Б,ЖК Левада,40.0,20.0,9.0,4,9,1,кирпич,10,0,,49.97994712,36.24112549,2024-08-23,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-osnovyanskiy-elizavetinskaya-ulitsa-32120526.html,"Єлизаветинська, 3б. Розташована на комфортному 4 поверсі, теплий цегляний будинок, вигідний тариф на комунальні платежі. Дуже якісний ремонт, чиста, доглянута, укомплектована всім необхідним. Ціна 9 000 грн+ комунальні платежі",0,0,0,0,1,0,0,0,0,0,0,Пропозиція від посередника,,,2017.0,0,0,цегли,централізоване,,,,тип двору: внутрішній,,пасажирський ліфт,
2 500,60,Харків,Слобідський,,Проспект Гагаріна,вул. Фонвізіна,12,,32.0,17.0,5.0,3,3,1,кирпич,7,0,,49.94373106281611,36.27149397314776,2024-08-23,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-slobodskoy-fonvizina-ulitsa-32156404.html,"Продам 1-к квартиру в районі Одеської, вул.Фонвізіна. Хороший, житловий стан. Є всі необхідні меблі і техніка. Встановлена газова колона, завжди буде гаряча вода, кондиціонер. Інтернет проведений. Поруч Чудо-маркет, АТБ. Хороша транспортна розв'язка. Тихі, спокійні сусіди. Чистий, прибирається підхід.",1,1,0,0,0,0,0,0,0,0,0,Пропозиція від власника,,,,0,0,цегли,централізоване,комбинированный: колонка|колонка,роздільний санвузол,Wi-Fi|пральна машина|душова кабіна|газова плита|диван|холодильник|лічильник на електрику|лічильник на газ|лічильник на воду|кондиціонер|письмовий стіл|кабельне ТБ|двоспальне ліжко,тип двору: внутрішній,,,
4 000,97,Харків,Слобідський,,Проспект Гагаріна,просп. Аерокосмічний(Гагаріна),39,,33.0,17.0,7.0,4,12,1,панель,9,0,,49.977859,36.253736,2024-08-23,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-slobodskoy-gagarina-prospekt-32154217.html,Я здаю квартиру на тривалий термін. Можна з дрібними тваринами і дітьми. Телефонуйте будь ласка. Я вам покажу квартиру.,0,0,0,0,0,0,0,0,0,0,0,Пропозиція від власника,1500.0,500.0,,0,Комісія за послуги 50 %,панелей,централізоване,бойлер,суміжний санвузол,Wi-Fi|газова плита|холодильник,тип двору: внутрішній,балкон/лоджія,,
